Player,Player.1,CM,KG,Apps,Mins,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,OpenPlay,Counter,SetPiece,PenaltyTaken,OffTarget,OnPost,OnTarget,Blocked,PenaltyScored,Own,Normal,AccLB,InAccLB,AccSP,InAccSP,AccCr,InAccCr,AccCrn,InAccCrn,AccFrK,InAccFrK,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Won,Lost,TotalTackles,DribbledPast,TotalAttemptedTackles,Fouled,Fouls,CaughtOffside,ShotsBlocked,CrossesBlocked,PassesBlocked
"1Brandon Austin26, GK","Brandon Austin 26, GK",188,82,1,90,-,-,-,-,7.11,-,-,-,-,-,-,-,-,-,-,-,4,9,14,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,2,-,-,-,-,-
"2Antonín Kinsky22, GK","Antonín Kinsky 22, GK",190,83,6,540,-,-,-,-,7.1,-,-,-,-,-,-,-,-,-,-,-,4.3,7.5,17.3,0.7,-,-,-,-,0.5,1,0.2,-,-,-,-,-,-,0.2,-,-,-,-,-,0.3,-,0.5,-,0.5,-,-,-,-,-,-
"3Son Heung-Min33, M(CLR),FW","Son Heung-Min 33, M(CLR),FW",183,78,30,2118,1.9,0.6,-,1.3,7.0,0.9,0.5,0.4,0.1,0.4,0.1,0.9,0.6,-,-,0.2,0.5,0.2,22.8,4.2,0.6,2,0.4,0.8,0.2,-,0.1,1.6,0.3,0.1,0.1,0.1,-,1.2,1.8,1,2.8,0.8,1.1,0.2,0.4,0.6,0.7,1.3,0.9,0.2,0.4,-,-,0.4
"4James Maddison28, AM(CLR)","James Maddison 28, AM(CLR)",175,73,31,1818,1.3,0.5,0.2,0.6,6.98,0.9,0.1,0.3,-,0.4,-,0.5,0.4,-,-,0.3,1.3,1.2,30.8,3.7,0.7,2.5,0.7,1.2,0.8,0.2,0.2,1.1,0.5,0.2,0.1,0.1,-,0.7,1.4,1.1,2.5,0.7,0.8,0.2,0.3,1,0.6,1.6,2.1,1,0.1,0.1,0.1,0.4
"5Pedro Porro26, D(R),M(R)","Pedro Porro 26, D(R),M(R)",173,69,33,2609,1.2,0.8,-,0.3,6.95,0.6,-,0.5,-,0.6,-,0.2,0.4,-,-,0.1,2.5,3.6,30.6,6.8,1.8,4.1,0.8,0.8,0.9,0.3,0.6,1.1,1.2,0.5,-,0.1,-,0.5,0.8,0.4,1.2,0.8,0.5,0.4,0.7,2,1,3,1,0.8,-,0.5,0.3,0.8
"6Dominic Solanke28, FW","Dominic Solanke 28, FW",187,80,27,2205,2.2,0.1,0.2,1.9,6.84,1.6,0.1,0.5,-,0.7,-,1,0.6,-,-,0.3,0.4,0.1,8.9,3.6,-,0.1,-,-,-,-,-,0.5,-,-,0.1,-,-,0.4,1.3,0.6,1.9,2.6,1.9,1.7,2.3,0.7,0.4,1.1,1.3,1.3,0.2,0.3,-,0.4
"7Dejan Kulusevski25, AM(CR),FW","Dejan Kulusevski 25, AM(CR),FW",186,80,32,2392,1.5,0.3,0.2,1,6.83,1.1,0.1,0.2,-,0.3,-,0.6,0.6,-,-,0.2,0.4,0.4,19.6,4.3,0.4,2.4,1.3,0.7,0.1,-,0.2,1.9,0.3,0.2,0.1,-,-,1.5,2.5,1.2,3.7,2.4,2.3,0.3,0.5,1.4,1,2.4,1.2,1.5,0.2,0.2,-,0.9
"8Cristian Romero27, D(C)","Cristian Romero 27, D(C)",185,78,18,1421,0.9,-,0.2,0.7,6.8,0.1,-,0.8,-,0.3,-,0.4,0.1,-,-,0.1,2.6,2.7,57.7,4.2,0.1,0.1,-,-,4.3,0.1,0.1,0.3,-,-,0.1,-,-,0.3,0.2,0.1,0.2,0.6,0.3,2.3,1.5,1.9,0.5,2.4,0.7,0.8,0.1,0.2,0.3,0.8
"9Brennan Johnson24, AM(CLR),FW","Brennan Johnson 24, AM(CLR),FW",186,73,33,2181,1.6,-,0.4,1.3,6.76,1.2,0.2,0.3,-,0.7,0.1,0.6,0.3,-,-,0.3,0.1,0.4,13,3.8,0.2,1.4,-,-,-,-,-,0.6,0.2,-,-,-,-,0.4,0.8,0.6,1.3,0.8,0.5,0.2,0.6,1.2,0.5,1.7,0.8,0.8,0.4,0.1,0.1,0.7
"10Djed Spence25, D(LR),M(R)","Djed Spence 25, D(LR),M(R)",185,71,25,1791,0.4,0.2,-,0.2,6.73,0.3,-,0.1,-,0.2,-,0.1,0.1,-,-,-,0.5,1.1,33.5,4.1,0.4,0.6,-,-,1.2,-,-,0.4,0.1,-,-,-,-,0.3,1.5,1.5,3,1.1,1.3,0.8,0.6,1.9,0.3,2.2,0.9,0.8,0.1,0.4,0.7,0.8
"11Guglielmo Vicario29, GK","Guglielmo Vicario 29, GK",194,83,24,2160,-,-,-,-,6.71,-,-,-,-,-,-,-,-,-,-,-,2.3,3.6,24.7,0.8,-,-,-,-,1,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,-,-,-,0.1,-,-,-,-,-
