opponent,CB1_kg,FW0_kg,FW1_kg,GK1_kg,CB1_performance_gls,FW0_performance_gls,FW1_performance_gls,GK1_performance_gls,CB1_performance_ast,FW0_performance_ast,FW1_performance_ast,GK1_performance_ast,CB1_performance_pk,FW0_performance_pk,FW1_performance_pk,GK1_performance_pk,CB1_performance_pkatt,FW0_performance_pkatt,FW1_performance_pkatt,GK1_performance_pkatt,CB1_performance_sh,FW0_performance_sh,FW1_performance_sh,GK1_performance_sh,CB1_performance_sot,FW0_performance_sot,FW1_performance_sot,GK1_performance_sot,CB1_performance_crdy,FW0_performance_crdy,FW1_performance_crdy,GK1_performance_crdy,CB1_performance_crdr,FW0_performance_crdr,FW1_performance_crdr,GK1_performance_crdr,CB1_performance_touches,FW0_performance_touches,FW1_performance_touches,GK1_performance_touches,CB1_performance_tkl,FW0_performance_tkl,FW1_performance_tkl,GK1_performance_tkl,CB1_performance_int,FW0_performance_int,FW1_performance_int,GK1_performance_int,CB1_performance_blocks,FW0_performance_blocks,FW1_performance_blocks,GK1_performance_blocks,CB1_expected_xg,FW0_expected_xg,FW1_expected_xg,GK1_expected_xg,CB1_expected_npxg,FW0_expected_npxg,FW1_expected_npxg,GK1_expected_npxg,CB1_expected_xag,FW0_expected_xag,FW1_expected_xag,GK1_expected_xag,CB1_sca_sca,FW0_sca_sca,FW1_sca_sca,GK1_sca_sca,CB1_sca_gca,FW0_sca_gca,FW1_sca_gca,GK1_sca_gca,CB1_acclb,FW0_acclb,FW1_acclb,GK1_acclb,CB1_inacclb,FW0_inacclb,FW1_inacclb,GK1_inacclb,CB1_passes_cmp%,FW0_passes_cmp%,FW1_passes_cmp%,GK1_passes_cmp%,CB1_accsp,FW0_accsp,FW1_accsp,GK1_accsp,CB1_total_dribbles,FW0_total_dribbles,FW1_total_dribbles,GK1_total_dribbles,CB1_carries_prgc,FW0_carries_prgc,FW1_carries_prgc,GK1_carries_prgc,CB1_inacccr,FW0_inacccr,FW1_inacccr,GK1_inacccr,CB1_take-ons_succ,FW0_take-ons_succ,FW1_take-ons_succ,GK1_take-ons_succ,CB1_matchdate,FW0_matchdate,FW1_matchdate,GK1_matchdate,CB1_performance_2crdy,FW0_performance_2crdy,FW1_performance_2crdy,GK1_performance_2crdy,CB1_performance_fls,FW0_performance_fls,FW1_performance_fls,GK1_performance_fls,CB1_accfrk,FW0_accfrk,FW1_accfrk,GK1_accfrk,CB1_performance_off,FW0_performance_off,FW1_performance_off,GK1_performance_off,CB1_inaccsp,FW0_inaccsp,FW1_inaccsp,GK1_inaccsp,CB1_performance_tklw,FW0_performance_tklw,FW1_performance_tklw,GK1_performance_tklw,CB1_performance_pkwon,FW0_performance_pkwon,FW1_performance_pkwon,GK1_performance_pkwon,CB1_performance_pkcon,FW0_performance_pkcon,FW1_performance_pkcon,GK1_performance_pkcon,CB1_performance_og,FW0_performance_og,FW1_performance_og,GK1_performance_og,CB1_performance_recov,FW0_performance_recov,FW1_performance_recov,GK1_performance_recov,CB1_aerial_duels_won,FW0_aerial_duels_won,FW1_aerial_duels_won,GK1_aerial_duels_won,CB1_aerial_duels_lost,FW0_aerial_duels_lost,FW1_aerial_duels_lost,GK1_aerial_duels_lost,CB1_aerial_duels_won%,FW0_aerial_duels_won%,FW1_aerial_duels_won%,GK1_aerial_duels_won%,CB1_date,FW0_date,FW1_date,GK1_date,CB1_venue,FW0_venue,FW1_venue,GK1_venue,CB1_result,FW0_result,FW1_result,GK1_result,CB1_gf,FW0_gf,FW1_gf,GK1_gf,CB1_ga,FW0_ga,FW1_ga,GK1_ga,CB1_xg,FW0_xg,FW1_xg,GK1_xg,CB1_xga,FW0_xga,FW1_xga,GK1_xga,CB1_poss,FW0_poss,FW1_poss,GK1_poss,CB1_formation,FW0_formation,FW1_formation,GK1_formation,CB1_opp_formation,FW0_opp_formation,FW1_opp_formation,GK1_opp_formation,CB1_rk,FW0_rk,FW1_rk,GK1_rk,CB1_squad,FW0_squad,FW1_squad,GK1_squad,CB1_mp,FW0_mp,FW1_mp,GK1_mp,CB1_w,FW0_w,FW1_w,GK1_w,CB1_d,FW0_d,FW1_d,GK1_d,CB1_l,FW0_l,FW1_l,GK1_l,CB1_gd,FW0_gd,FW1_gd,GK1_gd,CB1_pts,FW0_pts,FW1_pts,GK1_pts,CB1_pts/mp,FW0_pts/mp,FW1_pts/mp,GK1_pts/mp,CB1_xgd,FW0_xgd,FW1_xgd,GK1_xgd,CB1_xgd/90,FW0_xgd/90,FW1_xgd/90,GK1_xgd/90,Result,GF_team,GA_team,xG_team,xGA_team,Poss,Formation,FormationLabel,TacticalStyleCluster,TacticalStyle,TacticalStyleLabel,StrategyCluster,Strategy,StrategyLabel,Rk,Squad,MP,W,D,L,GF_league,GA_league,GD,Pts,Pts/MP,xG_league,xGA_league,xGD,xGD/90
leicestercity,90.0,,90.0,90.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.5,,3.0,0.0,0.0,,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,103.0,,29.0,47.0,0.5,,2.0,0.0,0.5,,0.0,0.0,0.5,,0.0,0.0,0.05,,0.3,0.0,0.05,,0.3,0.0,0.0,,0.1,0.0,1.5,,1.0,0.0,0.0,,0.0,0.0,89.5,,15.0,42.0,96.5,,19.0,45.0,92.8,,78.9,93.3,7.0,,1.0,0.0,64.5,,19.0,35.0,0.5,,3.0,0.0,0.0,,3.0,1.0,0.0,,3.0,1.0,20240819.0,,20240819.0,20240819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,1,1,1.2,1.0,70,4-3-3,1,0,Defensive,0,0,High-press,1,18,leicestercity,38,6,7,25,33,80,-47,25,0.66,32.6,71.9,-39.3,-1.03
everton,90.0,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240824.0,20240824.0,,20240824.0,0.0,0.0,,0.0,1.0,0.0,,0.0,1.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,7.5,5.0,,3.0,2.0,0.0,,0.0,4.0,1.0,,0.0,33.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,4,0,2.4,1.0,70,4-3-3,1,1,Offensive,1,0,Possession,3,13,everton,38,11,15,12,42,44,-2,48,1.26,41.8,46.2,-4.5,-0.12
newcastleutd,90.0,,90.0,90.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.5,,1.5,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,60.0,,51.5,24.0,1.5,,1.0,0.0,0.5,,1.0,0.0,2.0,,1.5,0.0,0.0,,0.1,0.0,0.0,,0.1,0.0,0.0,,0.15000000000000002,0.0,0.0,,7.0,0.0,0.0,,0.0,0.0,44.0,,33.5,14.0,51.0,,40.0,23.0,86.2,,83.94999999999999,60.9,2.5,,5.5,0.0,31.0,,25.5,19.0,0.5,,7.0,0.0,0.5,,4.0,0.0,0.0,,1.0,0.0,20240901.0,,20240901.0,20240901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,1,2,1.2,1.8,65,4-2-3-1,0,0,Defensive,0,1,Low-block,2,5,newcastleutd,38,20,6,12,68,47,21,66,1.74,63.8,45.5,18.3,0.48
arsenal,90.0,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,,1.0,0.0,0.0,,0.0,,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240915.0,20240915.0,,20240915.0,0.0,0.0,,0.0,1.0,4.0,,0.0,0.5,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,5.0,3.0,,1.0,3.5,3.0,,0.0,3.0,5.0,,0.0,58.35,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,1,0.7,0.7,63,4-3-3,1,0,Defensive,0,0,High-press,1,2,arsenal,38,20,14,4,69,34,35,74,1.95,59.9,34.4,25.5,0.67
brentford,90.0,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,,1.0,0.0,0.0,,0.0,,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240921.0,20240921.0,,20240921.0,0.0,0.0,,0.0,1.0,4.0,,0.0,0.5,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,5.0,3.0,,1.0,3.5,3.0,,0.0,3.0,5.0,,0.0,58.35,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,3,1,3.5,0.8,48,4-3-3,1,1,Offensive,1,0,Possession,3,10,brentford,38,16,8,14,66,57,9,56,1.47,59.0,55.4,3.6,0.09
manchesterutd,85.0,,90.0,90.0,0.0,,1.0,0.0,0.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.5,,4.0,0.0,0.0,,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,113.0,,31.0,51.0,0.5,,0.0,0.0,1.0,,0.0,0.0,2.5,,1.0,0.0,0.1,,1.3,0.0,0.1,,1.3,0.0,0.45,,0.2,0.0,2.0,,5.0,2.0,1.0,,1.0,0.0,97.5,,15.0,49.0,105.5,,18.0,51.0,92.95,,83.3,96.1,5.0,,3.0,0.0,90.0,,13.0,42.0,0.5,,1.0,0.0,1.0,,2.0,0.0,0.0,,2.0,0.0,20240929.0,,20240929.0,20240929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,3,0,4.4,1.0,61,4-3-3,1,1,Offensive,1,0,Possession,3,15,manchesterutd,38,11,9,18,44,54,-10,42,1.11,52.6,53.8,-1.3,-0.03
brighton,90.0,,90.0,90.0,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,105.0,,18.0,62.0,1.5,,0.0,0.0,1.0,,0.0,0.0,0.5,,0.0,0.0,0.1,,0.0,0.0,0.1,,0.0,0.0,0.05,,0.5,0.0,2.0,,3.0,0.0,0.0,,2.0,0.0,93.5,,14.0,58.0,97.5,,17.0,60.0,95.9,,82.4,96.7,4.0,,4.0,0.0,75.0,,12.0,47.0,0.5,,2.0,0.0,1.5,,1.0,0.0,1.5,,1.0,0.0,20241006.0,,20241006.0,20241006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,2,3,1.3,1.8,59,4-3-3,1,0,Defensive,0,1,Low-block,2,8,brighton,38,16,13,9,66,59,7,61,1.61,58.7,54.6,4.1,0.11
westham,90.0,80.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,0.5,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20241019.0,20241019.0,,20241019.0,0.0,0.0,,0.0,0.5,2.0,,0.0,0.5,0.0,,0.0,0.0,0.0,,0.0,0.5,0.0,,0.0,2.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,5.5,2.0,,0.0,2.0,1.0,,0.0,2.0,1.0,,0.0,40.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,4,1,1.9,0.8,57,4-3-3,1,1,Offensive,1,0,Possession,3,14,westham,38,11,10,17,46,62,-16,43,1.13,47.0,59.7,-12.7,-0.33
crystalpalace,90.0,,90.0,90.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.5,,0.0,0.0,0.0,,0.0,0.0,89.0,,36.0,46.0,3.5,,1.0,0.0,2.0,,0.0,0.0,0.5,,1.0,0.0,0.1,,0.0,0.0,0.1,,0.0,0.0,0.05,,0.0,0.0,1.5,,2.0,0.0,0.0,,0.0,0.0,65.5,,12.0,38.0,76.0,,22.0,42.0,86.15,,54.5,90.5,1.5,,5.0,0.0,53.0,,20.0,32.0,0.0,,2.0,0.0,1.0,,6.0,0.0,0.5,,2.0,0.0,20241027.0,,20241027.0,20241027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,1,0.7,0.8,66,4-3-3,1,0,Defensive,0,0,High-press,1,12,crystalpalace,38,13,14,11,51,51,0,53,1.39,60.4,49.1,11.3,0.3
astonvilla,60.0,90.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20241103.0,20241103.0,,20241103.0,0.0,0.0,,0.0,0.3333333333333333,0.0,,0.0,1.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.3333333333333333,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.3333333333333335,0.0,,2.0,1.6666666666666667,3.0,,0.0,2.0,2.0,,0.0,44.43333333333334,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,4,1,2.4,1.8,51,4-3-3,1,1,Offensive,1,1,Counter-attack,0,6,astonvilla,38,19,9,10,58,51,7,66,1.74,56.1,50.1,5.9,0.16
