Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
Son Heung-min,7.0,kr KOR,"FW,LW",32-047,90,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0.0
Wilson Odobert,28.0,fr FRA,LW,19-270,66,0,0,0,0,0,0,2,0,1,0,0,0,3,2,0,100.0
Brennan Johnson,22.0,wls WAL,RW,23-093,90,0,0,0,2,0,0,3,0,2,0,0,0,0,1,1,50.0
James Maddison,10.0,eng ENG,LM,27-275,78,0,0,0,2,2,0,5,0,0,0,0,0,3,2,0,100.0
Yves Bissouma,8.0,ml MLI,CM,27-360,72,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0.0
Dejan Kulusevski,21.0,se SWE,RM,24-121,66,0,0,0,0,1,0,3,0,0,0,0,0,3,1,1,50.0
Destiny Udogie,13.0,it ITA,LB,21-270,72,0,0,0,1,2,0,1,0,1,0,0,0,6,0,1,0.0
Micky van de Ven,37.0,nl NED,CB,23-127,90,0,0,0,1,1,0,0,2,0,0,0,0,8,1,5,16.7
Cristian Romero,17.0,ar ARG,CB,26-119,90,0,0,0,1,1,0,0,0,6,0,0,0,7,3,3,50.0
Pedro Porro,23.0,es ESP,RB,24-346,90,0,0,0,2,2,0,4,1,2,0,0,0,4,0,0,
Guglielmo Vicario,1.0,it ITA,GK,27-322,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
