Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
Dominic Solanke,19.0,eng ENG,FW,27-001,90,0,0,0,4,2,0,0,0,1,0,0,0,3,3,5,37.5
Son Heung-min,7.0,kr KOR,"LW,AM",32-069,90,0,0,0,0,1,1,1,1,0,0,0,0,5,0,1,0.0
Brennan Johnson,22.0,wls WAL,RW,23-115,67,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
James Maddison,10.0,eng ENG,LM,27-297,79,0,0,0,0,1,0,11,2,1,0,0,0,3,0,0,
Rodrigo Bentancur,30.0,uy URU,CM,27-082,67,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,
Dejan Kulusevski,21.0,se SWE,"RM,DM",24-143,90,1,0,0,3,1,0,5,1,1,0,0,0,4,0,0,
Destiny Udogie,13.0,it ITA,LB,21-292,90,1,0,0,2,0,0,1,0,3,0,0,0,4,1,1,50.0
Micky van de Ven,37.0,nl NED,CB,23-149,90,1,0,0,1,0,0,0,1,0,0,0,0,4,5,5,50.0
Cristian Romero,17.0,ar ARG,CB,26-141,90,0,0,0,1,1,0,0,1,2,0,0,0,6,2,1,66.7
Pedro Porro,23.0,es ESP,RB,25-002,90,0,0,0,0,2,0,9,0,2,0,0,0,5,1,1,50.0
Guglielmo Vicario,1.0,it ITA,GK,27-344,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
