Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
Dominic Solanke,19.0,eng ENG,FW,27-035,80,0,0,0,2,0,0,0,0,1,0,0,0,2,1,1,50.0
Son Heung-min,7.0,kr KOR,LW,32-103,70,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,
Brennan Johnson,22.0,wls WAL,RW,23-149,90,0,0,0,1,2,1,0,0,0,0,0,0,3,2,0,100.0
James Maddison,10.0,eng ENG,LM,27-331,45,0,0,0,1,1,0,7,1,0,0,0,0,1,0,0,
Pape Matar Sarr,29.0,sn SEN,LM,22-035,45,0,0,0,1,2,0,0,0,2,0,0,0,2,0,1,0.0
Yves Bissouma,8.0,ml MLI,CM,28-050,80,0,0,0,0,2,0,0,0,4,0,0,0,3,0,0,
Dejan Kulusevski,21.0,se SWE,RM,24-177,90,0,0,0,2,3,0,2,0,3,0,0,0,8,0,0,
Destiny Udogie,13.0,it ITA,LB,21-326,87,0,0,0,1,2,0,3,1,1,0,0,0,4,1,1,50.0
Micky van de Ven,37.0,nl NED,CB,23-183,90,1,0,0,1,1,0,0,1,2,0,0,0,8,0,3,0.0
Cristian Romero,17.0,ar ARG,CB,26-175,90,0,0,0,0,0,0,1,0,2,0,0,0,3,4,1,80.0
Pedro Porro,23.0,es ESP,RB,25-036,90,0,0,0,1,1,0,12,2,1,0,0,0,8,1,0,100.0
Guglielmo Vicario,1.0,it ITA,GK,28-012,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
