Target,AccLB,InAccLB,AccSP,InAccSP,InAccCr,AccFrK,Total Dribbles,KG,Cluster,SegmentedPosition
GK,4.0,9.0,14.0,0.0,0.0,1.0,0.0,82,1,GK1
GK,4.3,7.5,17.3,0.7,0.0,0.5,0.0,83,1,GK1
GK,2.3,3.6,24.7,0.8,0.0,1.0,0.0,83,0,GK0
GK,2.1,3.3,17.6,0.9,0.0,1.3,0.1,93,0,GK0
CMF,0.5,0.2,22.8,4.2,2.0,0.2,2.8,78,1,CMF1
CMF,0.9,0.6,35.3,4.2,0.1,1.2,0.7,72,0,CMF0
CMF,0.4,0.5,23.9,3.0,0.3,0.3,0.8,70,0,CMF0
CMF,0.7,0.8,26.2,2.5,0.0,1.5,0.8,80,0,CMF0
Wing,1.3,1.2,30.8,3.7,2.5,0.8,2.5,73,0,Wing0
Wing,0.4,0.4,19.6,4.3,2.4,0.1,3.7,80,0,Wing0
Wing,0.1,0.4,13.0,3.8,1.4,0.0,1.3,73,1,Wing1
Wing,0.8,0.4,12.4,3.6,2.2,0.0,4.1,77,0,Wing0
Wing,0.1,0.1,3.9,2.3,0.3,0.1,1.1,83,1,Wing1
Wing,0.1,0.3,8.1,2.5,1.4,0.1,1.1,75,1,Wing1
Wing,0.3,0.1,12.6,2.2,1.3,0.0,2.0,76,1,Wing1
Wing,0.1,0.1,6.3,1.3,1.5,0.0,1.7,75,1,Wing1
WB,2.5,3.6,30.6,6.8,4.1,0.9,1.2,69,1,WB1so 
WB,0.5,1.1,33.5,4.1,0.6,1.2,3.0,71,0,WB0
WB,2.2,2.7,50.2,4.4,0.2,1.4,0.1,77,0,WB0
WB,0.5,0.4,33.2,4.1,0.6,1.1,1.3,73,0,WB0
WB,1.5,2.2,54.3,3.3,0.0,1.4,0.6,81,0,WB0
WB,0.3,2.5,18.8,5.3,2.5,0.3,1.5,68,1,WB1
WB,1.2,1.6,33.2,2.5,0.6,1.0,0.5,70,0,WB0
FW,0.4,0.1,8.9,3.6,0.1,0.0,1.9,80,1,FW1
FW,0.0,0.3,1.0,0.3,0.0,0.0,0.0,76,0,FW0
FW,0.0,0.0,0.0,0.3,0.0,0.0,0.0,80,0,FW0
CB,2.6,2.7,57.7,4.2,0.1,4.3,0.2,78,0,CB0
CB,1.8,3.0,46.1,4.5,0.0,1.7,0.3,85,0,CB0
CB,1.6,3.9,42.9,3.9,0.0,2.2,0.1,85,0,CB0
CB,2.0,0.0,13.0,1.0,0.0,0.0,0.0,75,1,CB1
