Player,Player.1,CM,KG,Apps,Mins,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,OpenPlay,Counter,SetPiece,PenaltyTaken,OffTarget,OnPost,OnTarget,Blocked,PenaltyScored,Own,Normal,AccLB,InAccLB,AccSP,InAccSP,AccCr,InAccCr,AccCrn,InAccCrn,AccFrK,InAccFrK,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Won,Lost,TotalTackles,DribbledPast,TotalAttemptedTackles,Fouled,Fouls,CaughtOffside,ShotsBlocked,CrossesBlocked,PassesBlocked
"1Son Heung-Min33, M(CLR),FW","Son Heung-Min 33, M(CLR),FW",183,78,35,2976,2.5,0.7,0.2,1.6,7.52,2,0.2,0.2,-,0.6,-,1.4,0.5,-,-,0.7,0.5,0.4,24.0,3.5,1.2,4.1,1.9,2.4,0.3,0.1,0.3,1.7,0.9,0.7,0.1,0.1,-,1.1,1.1,1.5,2.6,2.1,1.2,0.4,0.9,0.4,0.5,0.9,1,0.4,0.5,0.2,-,0.6
"2Harry Kane32, AM(C),FW","Harry Kane 32, AM(C),FW",188,86,37,3187,3.6,1.2,0.4,2,7.45,2.7,0.2,0.6,0.1,1.1,0.1,1.5,0.9,0.1,-,0.4,1.7,1,14.5,6,0.2,0.9,-,-,0.2,0.1,0.3,1,0.1,-,0.2,-,-,1,1.2,1.5,2.7,2.6,1.6,2,2.1,0.4,0.3,0.7,1.4,1.1,0.4,0.2,-,0.5
"3Rodrigo Bentancur28, M(C)","Rodrigo Bentancur 28, M(C)",187,72,17,1367,0.8,0.4,0.1,0.4,7.24,0.6,-,0.2,-,0.5,-,0.1,0.2,-,-,-,2.2,1,51.1,4.9,0.2,0.4,-,-,0.8,-,0.2,0.6,0.1,-,0.1,-,-,0.6,0.4,0.8,1.2,0.7,0.8,1.2,1.1,2.1,0.9,3.1,0.8,1.3,-,0.5,0.2,0.9
"4Dejan Kulusevski25, AM(CR),FW","Dejan Kulusevski 25, AM(CR),FW",186,80,18,1267,1.4,0.3,-,1.1,7.19,1.4,-,0.1,-,0.3,-,0.6,0.6,-,-,0.3,0.3,0.1,21.6,3.3,0.4,1,0.1,-,0.2,-,0.1,1.3,0.2,-,0.1,-,-,1.2,1.1,1.4,2.4,2.1,1,0.2,0.4,1.1,1,2.1,0.8,1.1,0.2,-,0.1,0.8
"5Pierre-Emile Højbjerg30, M(C)","Pierre-Emile Højbjerg 30, M(C)",185,84,36,3154,0.9,0.5,0.1,0.3,7.13,0.6,-,0.3,-,0.3,-,0.3,0.3,-,-,0.1,3.6,2.2,57.8,4.9,0.1,0.4,0.1,-,2.4,0.2,0.1,0.6,-,-,0.1,0.1,-,0.6,0.4,1.1,1.6,0.9,0.6,0.6,0.5,1.9,1.3,3.2,1.1,0.8,-,0.4,0.1,1.3
"6Matt Doherty33, D(CLR),M(LR)","Matt Doherty 33, D(CLR),M(LR)",185,80,15,874,1.1,0.2,0.2,0.7,6.96,0.8,0.1,0.2,-,0.3,-,0.4,0.3,-,-,0.1,0.9,0.7,24.3,4.3,0.4,0.9,-,-,0.2,-,0.2,0.8,0.2,-,0.3,-,-,0.5,0.3,0.4,0.7,1.1,0.4,1.1,0.5,1.2,0.4,1.6,0.3,0.7,-,0.1,0.1,0.6
"7Sergio Reguilón28, D(L),M(L)","Sergio Reguilón 28, D(L),M(L)",178,68,25,1878,0.8,0.2,0.1,0.5,6.95,0.6,-,0.2,-,0.2,-,0.4,0.3,-,-,0.1,0.8,1.3,21.9,5,1,2.3,0.2,0.2,0.5,-,0.2,0.9,0.6,-,-,-,-,0.6,1,0.7,1.8,1.2,0.5,1.2,0.9,1.6,0.8,2.4,0.9,0.9,-,0.3,0.2,0.4
"8Cristian Romero27, D(C)","Cristian Romero 27, D(C)",185,78,22,1801,0.3,-,-,0.2,6.92,0.2,-,-,-,0.1,-,0.1,0.1,-,-,-,2.5,3.2,47.9,4.7,-,-,-,-,1.6,-,-,0.3,-,-,-,-,-,0.3,0.2,0.4,0.6,0.5,0.2,1.9,1.3,2.8,0.5,3.3,0.7,1.3,0.1,1,0.1,1.1
"9Davinson Sánchez29, D(C)","Davinson Sánchez 29, D(C)",187,81,23,1626,0.6,-,0.3,0.3,6.86,0.1,-,0.5,-,0.3,-,0.1,0.1,-,-,0.1,1.7,2.6,41.3,3.4,-,-,-,-,0.7,0.1,-,0.2,-,-,-,-,-,0.2,0.1,0.2,0.3,0.4,0.1,2,1.6,1.8,0.4,2.2,0.5,0.7,-,0.7,-,0.3
"10Emerson Royal26, D(CLR),M(R)","Emerson Royal 26, D(CLR),M(R)",181,79,31,2246,0.5,0.1,0.1,0.3,6.85,0.4,-,0.1,-,0.2,-,0.1,0.1,-,-,-,0.5,1.3,29.1,5.1,0.6,1.7,-,-,0.5,-,-,0.9,0.3,-,-,-,-,0.6,0.5,0.5,1.1,0.8,0.6,1,1.3,2.2,1,3.2,1.4,0.9,0.1,0.1,0.5,0.7
