Target,Cluster,AccLB,InAccLB,AccSP,InAccSP,InAccCr,AccFrK,Total Dribbles,KG,SegmentedPosition
GK,0,2.2,3.45,21.15,0.85,0.0,1.15,0.05,88.0,GK0
GK,1,4.15,8.25,15.65,0.35,0.0,0.75,0.0,82.5,GK1
CMF,0,0.67,0.63,28.47,3.23,0.13,1.0,0.77,74.0,CMF0
CMF,1,0.5,0.2,22.8,4.2,2.0,0.2,2.8,78.0,CMF1
Wing,0,0.83,0.67,20.93,3.87,2.37,0.3,3.43,76.67,Wing0
Wing,1,0.14,0.2,8.78,2.42,1.18,0.04,1.44,76.4,Wing1
WB,0,1.18,1.6,40.88,3.68,0.4,1.22,1.1,74.4,WB0
WB,1,1.4,3.05,24.7,6.05,3.3,0.6,1.35,68.5,WB1
FW,0,0.0,0.15,0.5,0.3,0.0,0.0,0.0,78.0,FW0
FW,1,0.4,0.1,8.9,3.6,0.1,0.0,1.9,80.0,FW1
CB,0,2.0,3.2,48.9,4.2,0.03,2.73,0.2,82.67,CB0
CB,1,2.0,0.0,13.0,1.0,0.0,0.0,0.0,75.0,CB1
