Player,Pos,AccLB,InAccLB,AccSP,InAccSP,InAccCr,AccFrK,Total Dribbles,KG
Carlos Forbs,AM,0,1,7,3,1,0,1,13
Carlos Forbs,AM,0,1,7,3,1,0,1,13
Gonçalo Guedes,AM,2,1,12,4,1,0,2,45
Gonçalo Guedes,AM,2,1,12,4,1,0,2,45
James Maddison,AM,1,0,13,3,0,0,1,27
James Maddison,AM,1,0,13,3,0,0,1,27
Jean-Ricner Bellegarde,AM,2,0,14,1,0,0,0,45
Jean-Ricner Bellegarde,AM,2,0,14,1,0,0,0,45
Matheus Cunha,AM,2,3,19,12,0,1,3,45
Matheus Cunha,AM,2,3,19,12,0,1,3,45
Dejan Kulusevski,"AM,RW",0,1,18,9,3,0,7,90
Dejan Kulusevski,"AM,RW",0,1,18,9,3,0,7,90
Archie Gray,CB,3,2,60,6,0,2,0,90
Archie Gray,CB,3,2,60,6,0,2,0,90
Craig Dawson,CB,6,3,37,6,0,1,0,77
Craig Dawson,CB,6,3,37,6,0,1,0,77
Matt Doherty,CB,5,3,45,9,1,0,3,90
Matt Doherty,CB,5,3,45,9,1,0,3,90
Radu Drăgușin,CB,1,5,40,10,0,0,0,90
Radu Drăgușin,CB,1,5,40,10,0,0,0,90
Santiago Bueno,CB,3,1,35,5,0,0,0,90
Santiago Bueno,CB,3,1,35,5,0,0,0,90
André,CM,1,1,28,2,0,2,1,68
André,CM,1,1,28,2,0,2,1,68
João Gomes,CM,4,0,53,8,0,1,0,90
João Gomes,CM,4,0,53,8,0,1,0,90
Tommy Doyle,CM,3,2,15,5,1,0,0,22
Tommy Doyle,CM,3,2,15,5,1,0,0,22
Pape Matar Sarr,DM,0,0,11,2,0,0,2,27
Pape Matar Sarr,DM,0,0,11,2,0,0,2,27
Rodrigo Bentancur,DM,3,3,35,11,1,3,2,90
Rodrigo Bentancur,DM,3,3,35,11,1,3,2,90
Yves Bissouma,DM,0,0,19,5,0,1,0,63
Yves Bissouma,DM,0,0,19,5,0,1,0,63
Dominic Solanke,FW,0,0,17,4,0,0,3,90
Dominic Solanke,FW,0,0,17,4,0,0,3,90
Jørgen Strand Larsen,FW,0,1,4,2,0,0,0,45
Jørgen Strand Larsen,FW,0,1,4,2,0,0,0,45
Hwang Hee-chan,"FW,AM",0,0,16,3,1,0,1,77
Hwang Hee-chan,"FW,AM",0,0,16,3,1,0,1,77
Fraser Forster,GK,7,8,16,8,0,4,0,90
Fraser Forster,GK,7,8,16,8,0,4,0,90
José Sá,GK,8,18,17,20,0,3,1,90
José Sá,GK,8,18,17,20,0,3,1,90
Destiny Udogie,LB,0,0,28,4,0,0,1,49
Destiny Udogie,LB,0,0,28,4,0,0,1,49
Sergio Reguilón,LB,2,1,22,11,3,0,1,41
Sergio Reguilón,LB,2,1,22,11,3,0,1,41
Son Heung-min,LW,0,1,15,5,3,0,0,63
Son Heung-min,LW,0,1,15,5,3,0,0,63
Timo Werner,LW,1,0,11,4,1,0,1,27
Timo Werner,LW,1,0,11,4,1,0,1,27
Pedro Porro,RB,5,3,39,21,4,2,0,90
Pedro Porro,RB,5,3,39,21,4,2,0,90
Brennan Johnson,RW,0,0,5,7,2,0,0,63
Brennan Johnson,RW,0,0,5,7,2,0,0,63
Rayan Aït-Nouri,WB,3,3,62,11,5,1,2,90
Rayan Aït-Nouri,WB,3,3,62,11,5,1,2,90
Rodrigo Gomes,WB,0,2,1,5,2,0,1,13
Rodrigo Gomes,WB,0,2,1,5,2,0,1,13
Nélson Semedo,"WB,CB",1,2,28,12,3,1,1,90
Nélson Semedo,"WB,CB",1,2,28,12,3,1,1,90
