Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ
Harry Kane,10.0,eng ENG,FW,29-023,90,1,0,0,0,4,2,1,0,30,0,0,0,0.9,0.9,0.1,4,0,18,22,81.8,5,20,1,1,0
Son Heung-min,7.0,kr KOR,AM,30-043,75,0,0,0,0,3,1,0,0,35,0,1,2,0.3,0.3,0.0,2,1,14,24,58.3,4,16,1,2,0
Dejan Kulusevski,21.0,se SWE,AM,22-117,85,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.4,3,0,28,36,77.8,4,35,6,3,1
Rodrigo Bentancur,30.0,uy URU,CM,25-056,90,0,0,0,0,0,0,0,0,63,2,0,5,0.0,0.0,0.0,0,0,48,52,92.3,6,32,1,1,1
Pierre Højbjerg,5.0,dk DEN,CM,27-015,90,0,0,0,0,1,1,1,0,84,2,1,3,0.1,0.1,0.0,1,0,66,69,95.7,12,52,1,1,1
Ivan Perišić,14.0,hr CRO,WB,33-199,75,0,1,0,0,0,0,0,0,50,5,0,0,0.0,0.0,0.9,3,1,27,37,73.0,3,17,3,3,1
Emerson,12.0,br BRA,WB,23-218,90,0,0,0,0,1,0,0,0,71,3,1,2,0.1,0.1,0.0,2,0,47,55,85.5,8,35,3,2,1
Ben Davies,33.0,wls WAL,CB,29-118,90,0,0,0,0,0,0,0,0,68,0,0,1,0.0,0.0,0.0,0,0,50,61,82.0,3,44,1,0,0
Eric Dier,15.0,eng ENG,CB,28-217,90,0,0,0,0,0,0,0,0,78,1,1,1,0.0,0.0,0.0,0,0,62,70,88.6,4,47,0,0,0
Davinson Sánchez,6.0,co COL,CB,26-069,90,0,0,0,0,1,0,0,0,54,3,0,2,0.2,0.2,0.0,1,0,35,39,89.7,1,26,0,0,0
Hugo Lloris,1.0,fr FRA,GK,35-237,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,29,35,82.9,0,21,0,0,0
