Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ
Son Heung-min,7.0,kr KOR,"FW,LW",32-047,90,2,0,0,0,3,3,0,0,46,0,0,0,1.1,1.1,0.2,4,0,27,35,77.1,4,28,1,4,1
Wilson Odobert,28.0,fr FRA,LW,19-270,66,0,0,0,0,1,0,0,0,53,3,0,0,0.0,0.0,0.0,1,0,32,39,82.1,5,39,7,6,2
Brennan Johnson,22.0,wls WAL,RW,23-093,90,0,0,0,0,1,0,0,0,29,2,0,0,0.2,0.2,0.0,0,0,15,22,68.2,1,20,3,3,0
James Maddison,10.0,eng ENG,LM,27-275,78,0,1,0,0,3,1,0,0,80,1,0,2,0.4,0.4,0.4,2,1,57,68,83.8,10,56,1,2,0
Yves Bissouma,8.0,ml MLI,CM,27-360,72,1,0,0,0,1,1,0,0,86,2,1,0,0.1,0.1,0.0,2,0,74,80,92.5,6,62,1,0,0
Dejan Kulusevski,21.0,se SWE,RM,24-121,66,0,1,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.2,6,2,20,23,87.0,3,15,4,4,2
Destiny Udogie,13.0,it ITA,LB,21-270,72,0,0,0,0,0,0,0,0,54,1,0,0,0.0,0.0,0.0,0,0,47,51,92.2,4,31,2,1,1
Micky van de Ven,37.0,nl NED,CB,23-127,90,0,1,0,0,0,0,0,0,73,0,2,1,0.0,0.0,0.3,1,1,65,70,92.9,7,53,0,0,0
Cristian Romero,17.0,ar ARG,CB,26-119,90,1,0,0,0,3,2,0,0,115,6,0,2,0.5,0.5,0.2,2,0,91,98,92.9,5,81,0,0,0
Pedro Porro,23.0,es ESP,RB,24-346,90,0,0,0,0,1,0,0,0,94,3,1,4,0.0,0.0,0.0,3,0,61,79,77.2,6,57,1,1,0
Guglielmo Vicario,1.0,it ITA,GK,27-322,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,45,45,100.0,0,41,0,0,0
