Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ
Dominic Solanke,19.0,eng ENG,FW,27-035,80,0,0,0,0,1,0,0,0,25,2,0,0,0.1,0.1,0.1,2,1,9,12,75.0,2,13,1,7,2
Son Heung-min,7.0,kr KOR,LW,32-103,70,1,0,0,0,5,2,0,0,42,0,0,0,0.4,0.4,0.1,5,1,26,34,76.5,8,28,4,2,1
Brennan Johnson,22.0,wls WAL,RW,23-149,90,0,0,0,0,5,1,0,0,30,1,0,0,0.9,0.9,0.0,3,0,15,18,83.3,2,20,1,4,0
James Maddison,10.0,eng ENG,LM,27-331,45,0,1,0,0,0,0,0,0,48,0,1,0,0.0,0.0,0.5,6,1,34,42,81.0,5,33,1,3,1
Pape Matar Sarr,29.0,sn SEN,LM,22-035,45,0,1,0,0,0,0,0,0,27,2,0,2,0.0,0.0,0.1,1,1,19,19,100.0,4,17,0,0,0
Yves Bissouma,8.0,ml MLI,CM,28-050,80,1,0,0,0,1,1,0,0,54,5,0,0,0.2,0.2,0.0,1,0,37,40,92.5,7,30,0,0,0
Dejan Kulusevski,21.0,se SWE,RM,24-177,90,1,0,0,0,4,1,0,0,52,3,0,0,0.2,0.2,0.1,9,0,29,36,80.6,6,42,4,6,2
Destiny Udogie,13.0,it ITA,LB,21-326,87,0,1,0,0,1,0,0,0,52,3,1,2,0.1,0.1,0.7,3,1,36,41,87.8,5,30,0,2,0
Micky van de Ven,37.0,nl NED,CB,23-183,90,0,0,0,0,0,0,1,0,75,2,1,2,0.0,0.0,0.0,1,0,61,67,91.0,8,55,4,0,0
Cristian Romero,17.0,ar ARG,CB,26-175,90,0,0,0,0,0,0,0,0,85,4,0,0,0.0,0.0,0.0,0,0,68,80,85.0,4,59,3,0,0
Pedro Porro,23.0,es ESP,RB,25-036,90,0,0,0,0,4,1,0,0,80,2,2,1,0.1,0.1,0.1,5,0,50,69,72.5,6,49,4,0,0
Guglielmo Vicario,1.0,it ITA,GK,28-012,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,32,35,91.4,0,25,0,0,0
