Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ
Dominic Solanke,19.0,eng ENG,FW,27-050,90,2,0,0,0,5,3,0,0,17,2,0,1,1.5,1.5,0.0,1,1,3,5,60.0,0,10,0,0,0
Son Heung-min,7.0,kr KOR,LW,32-118,55,0,1,0,0,0,0,0,0,37,2,0,0,0.0,0.0,0.6,8,1,24,29,82.8,3,25,6,9,2
Brennan Johnson,22.0,wls WAL,RW,23-164,90,1,0,0,0,1,1,0,0,36,1,1,4,0.6,0.6,0.0,0,0,12,22,54.5,1,14,1,3,1
Pape Matar Sarr,29.0,sn SEN,LM,22-050,90,0,0,0,0,4,1,0,0,76,0,2,1,0.1,0.1,0.0,5,2,60,65,92.3,8,51,4,1,0
Rodrigo Bentancur,30.0,uy URU,CM,27-131,55,0,0,0,0,3,0,0,0,48,3,2,1,0.1,0.1,0.0,3,0,31,35,88.6,4,19,0,0,0
Yves Bissouma,8.0,ml MLI,CM,28-065,35,0,0,0,0,0,0,0,0,29,1,1,0,0.0,0.0,0.0,0,0,23,23,100.0,2,10,1,0,0
Dejan Kulusevski,21.0,se SWE,"RM,LW",24-192,90,0,1,0,0,0,0,0,0,36,3,1,3,0.0,0.0,0.7,3,1,12,23,52.2,5,14,3,3,1
Destiny Udogie,13.0,it ITA,LB,21-341,81,0,0,0,0,0,0,0,0,42,2,2,1,0.0,0.0,0.1,3,1,32,34,94.1,5,19,2,0,0
Radu Drăgușin,6.0,ro ROU,CB,22-274,90,0,0,0,0,0,0,0,0,65,0,1,1,0.0,0.0,0.0,0,0,53,59,89.8,7,38,1,0,0
Cristian Romero,17.0,ar ARG,CB,26-190,60,0,0,0,0,0,0,1,0,44,1,4,0,0.0,0.0,0.0,2,0,38,40,95.0,5,28,0,1,1
Ben Davies,33.0,wls WAL,CB,31-193,30,0,0,0,0,0,0,0,0,18,1,1,0,0.0,0.0,0.0,0,0,13,13,100.0,0,4,0,0,0
Pedro Porro,23.0,es ESP,RB,25-051,90,0,0,0,0,2,0,1,0,67,1,1,1,0.0,0.0,0.0,2,0,35,51,68.6,4,24,2,0,0
Guglielmo Vicario,1.0,it ITA,GK,28-027,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,18,18,100.0,0,11,0,0,0
