Date,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Opp Formation
2024-08-19,Away,D,1,1,LeicesterCity,1.2,1.0,70,4-3-3,4-2-3-1
2024-08-24,Home,W,4,0,Everton,2.4,1.0,70,4-3-3,4-2-3-1
2024-09-01,Away,L,1,2,NewcastleUtd,1.2,1.8,65,4-2-3-1,4-3-3
2024-09-15,Home,L,0,1,Arsenal,0.7,0.7,63,4-3-3,4-4-2
2024-09-21,Home,W,3,1,Brentford,3.5,0.8,48,4-3-3,5-3-2
2024-09-29,Away,W,3,0,ManchesterUtd,4.4,1.0,61,4-3-3,4-2-3-1
2024-10-06,Away,L,2,3,Brighton,1.3,1.8,59,4-3-3,4-2-3-1
2024-10-19,Home,W,4,1,WestHam,1.9,0.8,57,4-3-3,4-1-4-1
2024-10-27,Away,L,0,1,CrystalPalace,0.7,0.8,66,4-3-3,3-4-3
2024-11-03,Home,W,4,1,AstonVilla,2.4,1.8,51,4-3-3,4-2-3-1
