Target,Cluster,KG,Apps,Total,PenaltyArea,OpenPlay,Counter,OnTarget,AccLB,InAccLB,AccSP,InAccSP,InAccCr,AccFrK,InAccFrK,Cross,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Won,Lost,TotalTackles,TotalAttemptedTackles,Fouls,ShotsBlocked,CrossesBlocked,PassesBlocked,CM,AccCr,CaughtOffside,SegmentedPosition
GK,0,88.0,15.5,0.0,0.0,0.0,0.0,0.0,2.2,3.45,21.15,0.85,0.0,1.15,0.75,0.0,0.0,0.05,0.05,0.05,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.0,0.0,197.5,0.0,0.0,GK0
GK,1,82.5,3.5,0.0,0.0,0.0,0.0,0.0,4.15,8.25,15.65,0.35,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.25,0.25,0.0,0.0,0.0,0.0,189.0,0.0,0.0,GK1
CMF,0,74.0,29.25,0.62,0.3,0.45,0.0,0.2,0.78,0.6,26.72,3.02,0.2,0.92,0.0,0.02,0.57,0.42,1.0,0.78,0.65,0.72,0.78,1.52,2.08,0.98,0.28,0.05,0.42,185.25,0.12,0.02,CMF0
CMF,1,78.0,30.0,1.9,1.3,0.9,0.5,0.9,0.5,0.2,22.8,4.2,2.0,0.2,0.0,0.3,1.8,1.0,2.8,0.8,1.1,0.2,0.4,0.6,1.3,0.2,0.0,0.0,0.4,183.0,0.6,0.4,CMF1
Wing,0,75.75,27.25,1.55,1.1,1.02,0.15,0.6,0.65,0.6,18.95,3.85,2.12,0.22,0.05,0.35,1.9,1.02,2.9,1.52,1.2,0.25,0.48,1.2,1.88,1.1,0.12,0.05,0.62,182.5,0.45,0.2,Wing0
Wing,1,77.25,14.75,0.65,0.4,0.52,0.08,0.28,0.15,0.15,7.72,2.08,1.12,0.05,0.0,0.1,1.08,0.42,1.48,0.92,0.65,0.27,0.68,0.42,0.82,0.28,0.05,0.02,0.28,181.5,0.18,0.22,Wing1
WB,0,76.0,19.33,0.27,0.23,0.03,0.0,0.1,1.63,2.17,45.9,3.4,0.27,1.27,0.03,0.0,0.17,0.23,0.4,0.37,0.27,1.67,1.5,0.8,1.2,0.8,0.7,0.1,0.4,187.0,0.03,0.0,WB0
WB,1,70.25,21.75,0.57,0.18,0.35,0.0,0.08,0.95,1.9,29.02,5.07,1.95,0.88,0.08,0.42,1.02,0.72,1.75,0.98,0.72,0.75,0.57,1.98,2.65,0.82,0.28,0.45,1.2,180.5,0.73,0.05,WB1
FW,0,78.0,3.0,0.15,0.15,0.15,0.0,0.15,0.0,0.15,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.15,0.15,0.0,0.15,0.15,0.35,0.0,0.0,0.0,184.0,0.0,0.15,FW0
FW,1,80.0,27.0,2.2,1.9,1.6,0.1,1.0,0.4,0.1,8.9,3.6,0.1,0.0,0.0,0.0,1.3,0.6,1.9,2.6,1.9,1.7,2.3,0.7,1.1,1.3,0.3,0.0,0.4,187.0,0.0,0.2,FW1
CB,0,82.67,14.67,0.63,0.47,0.1,0.0,0.27,2.0,3.2,48.9,4.2,0.03,2.73,0.13,0.03,0.13,0.1,0.2,0.63,0.23,2.17,1.37,1.07,1.53,0.7,0.87,0.2,0.43,188.67,0.1,0.03,CB0
CB,1,75.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,CB1
